,City Name,Country,Date,Longitude,Latitude,Humidity,Cloud Cover,Temp K,Winds
0,Kavieng,PG,1604774797,150.8,-2.57,70,26,301.1,3.89
1,Huarmey,PE,1604774994,-78.15,-10.07,66,4,293.06,5.21
2,Cherskiy,RU,1604774837,161.3,68.75,95,100,258.68,2.86
3,Saskylakh,RU,1604774994,114.08,71.92,89,5,250.36,3.0
4,Kaitangata,NZ,1604774994,169.85,-46.28,73,100,281.48,3.13
5,Rome,US,1604774242,-85.16,34.26,60,90,297.04,3.1
6,Tagusao,PH,1604774994,117.81,9.19,75,100,299.72,1.18
7,Port Alfred,ZA,1604774806,26.89,-33.59,87,0,293.33,2.47
8,Lexington,US,1604774400,-84.48,37.99,37,1,295.93,2.1
9,Kropotkin,RU,1604774994,40.58,45.44,52,94,284.82,6.56
10,Puerto Ayora,EC,1604774995,-90.35,-0.74,65,40,298.15,8.2
11,Mataura,NZ,1604774995,168.86,-46.19,74,100,281.48,4.92
12,Ribeira Grande,PT,1604774850,-28.7,38.52,77,40,289.15,4.6
13,Hilo,US,1604774865,-155.09,19.73,88,90,297.15,2.6
14,Issia,CI,1604774995,-6.59,6.49,82,0,297.97,1.24
15,Ambon City,ID,1604774938,128.18,-3.7,16,97,297.59,4.3
16,New Norfolk,AU,1604774995,147.06,-42.78,72,6,278.71,1.15
17,Vaini,TO,1604774970,-175.2,-21.2,88,20,295.15,2.6
18,Kiryat Gat,IL,1604774995,34.76,31.61,77,86,293.71,2.26
19,Chenôve,FR,1604774996,5.0,47.29,100,0,284.26,2.23
20,Rikitea,PF,1604774996,-134.97,-23.12,74,53,294.95,8.68
21,Pyshma,RU,1604774996,63.25,56.95,90,100,275.25,1.82
22,Khatanga,RU,1604774954,102.5,71.97,88,9,252.68,5.27
23,Zyryanovsk,KZ,1604774996,84.27,49.74,89,0,273.68,0.2
24,Santander,ES,1604774996,-3.8,43.46,87,0,289.82,1.97
25,Qaanaaq,GL,1604774996,-69.36,77.48,71,0,248.35,2.86
26,Albany,US,1604774801,-73.97,42.6,37,100,295.37,1.09
27,Bengkulu,ID,1604774787,102.27,-3.8,87,100,297.96,2.14
28,Jimo,CN,1604774997,120.46,36.39,81,0,284.26,1.0
29,Lavrentiya,RU,1604774978,-171.0,65.58,96,92,271.35,5.23
30,Pangnirtung,CA,1604774997,-65.71,66.15,85,90,262.15,4.1
31,Bilma,NE,1604774997,12.92,18.69,26,0,295.77,3.18
32,Hambantota,LK,1604774795,81.12,6.12,100,5,298.15,1.5
33,Arraial do Cabo,BR,1604774799,-42.03,-22.97,61,75,298.15,5.1
34,Yellowknife,CA,1604774997,-114.35,62.46,85,75,262.04,2.1
35,Marsá Maţrūḩ,EG,1604774998,27.25,31.35,82,90,291.15,5.45
36,Anadyr,RU,1604774998,177.48,64.75,92,40,264.15,3.0
37,Newport,GB,1604774493,-3.0,51.59,92,38,284.82,0.45
38,Punta Arenas,CL,1604774998,-70.92,-53.15,51,75,288.15,9.8
39,Bathsheba,BB,1604774998,-59.52,13.22,74,40,303.15,7.7
40,Port Hueneme,US,1604774998,-119.2,34.15,62,40,288.71,8.7
41,Petropavlovsk-Kamchatskiy,RU,1604774998,158.65,53.05,79,15,268.15,3.0
42,Mayfield,US,1604774999,-88.64,36.74,47,1,298.15,3.1
43,Busselton,AU,1604774782,115.33,-33.65,66,54,285.93,1.46
44,Nikolskoye,RU,1604774994,30.79,59.7,81,90,282.15,5.0
45,Salalah,OM,1604774999,54.09,17.02,61,0,298.15,2.1
46,Myaundzha,RU,1604774999,147.19,63.05,85,100,253.32,1.64
47,Daru,PG,1604774999,143.21,-9.08,88,100,298.58,2.85
48,Mount Vernon,US,1604774889,-73.84,40.91,33,20,297.04,2.6
49,Kruisfontein,ZA,1604774999,24.73,-34.0,73,0,290.93,0.45
50,Ekhabi,RU,1604775000,142.97,53.51,89,85,269.26,3.47
51,Ushuaia,AR,1604774790,-68.3,-54.8,41,75,289.15,10.3
52,Mount Gambier,AU,1604775000,140.77,-37.83,93,0,278.15,3.1
53,Castro,BR,1604775000,-50.01,-24.79,33,0,299.8,2.09
54,Verkhnyaya Inta,RU,1604775000,60.31,65.98,98,100,272.12,4.64
55,Boca do Acre,BR,1604775000,-67.4,-8.75,32,98,310.33,1.27
56,Nísia Floresta,BR,1604775000,-35.21,-6.09,62,40,304.15,9.8
57,Riyadh,SA,1604774772,46.72,24.69,31,0,296.15,2.1
58,Tabory,RU,1604775001,64.55,58.52,97,100,276.05,1.95
59,Atuona,PF,1604775001,-139.03,-9.8,73,88,298.49,7.12
60,Hamminkeln,DE,1604775001,6.58,51.73,85,81,282.59,2.07
61,Porto Nacional,BR,1604775002,-48.42,-10.71,70,40,302.15,2.1
62,Esperance,AU,1604775002,121.9,-33.87,100,75,286.15,3.6
63,Abhā,SA,1604775002,42.51,18.22,72,0,290.15,1.03
64,Bara,NG,1604775003,10.73,10.37,36,0,298.15,2.6
65,Aswān,EG,1604775003,32.91,24.09,38,100,295.53,4.32
66,Sangar,RU,1604775003,127.47,63.92,89,96,247.66,2.06
67,Dikson,RU,1604775003,80.55,73.51,89,3,253.82,5.41
68,Bluff,NZ,1604775003,168.33,-46.6,74,6,281.48,4.92
69,Barrow,US,1604774927,-156.79,71.29,86,90,272.15,10.8
70,Asău,RO,1604775004,26.4,46.43,97,0,277.04,0.94
71,Marystown,CA,1604774993,-55.15,47.17,100,41,282.59,6.71
72,Sur,OM,1604775004,59.53,22.57,77,0,297.39,3.21
73,Cayenne,GF,1604775004,-52.33,4.93,94,0,299.15,2.6
74,Dondo,MZ,1604775004,34.74,-19.61,69,0,301.15,6.2
75,Kathu,TH,1604775005,98.33,7.92,94,40,302.59,1.0
76,Diu,IN,1604775005,70.98,20.71,39,0,299.15,4.33
77,Ust-Nera,RU,1604775005,143.2,64.57,82,88,251.16,2.49
78,Batemans Bay,AU,1604775006,150.18,-35.72,80,0,282.59,0.89
79,Linxia Chengguanzhen,CN,1604775006,103.21,35.6,69,100,276.83,0.42
80,Nara,JP,1604775006,135.8,34.69,98,96,289.82,1.26
81,George Town,MY,1604775006,100.34,5.41,88,40,299.15,2.1
82,Hermanus,ZA,1604774952,19.23,-34.42,56,0,291.48,5.36
83,Cape Town,ZA,1604774799,18.42,-33.93,82,75,291.48,6.2
84,Bredasdorp,ZA,1604775006,20.04,-34.53,72,0,289.15,4.1
85,East London,ZA,1604775007,27.91,-33.02,83,0,295.15,4.1
86,Souillac,MU,1604775007,57.52,-20.52,78,40,296.15,3.6
87,Lebu,CL,1604775008,-73.65,-37.62,59,0,287.08,9.61
88,Okha,RU,1604775008,142.95,53.57,89,71,269.44,3.86
89,Şuraabad,AZ,1604775009,49.47,40.82,81,90,285.15,1.0
90,Sistranda,NO,1604774922,8.83,63.73,70,75,280.15,3.6
91,Torma,EE,1604775009,26.74,58.81,93,100,283.15,7.2
92,Manicoré,BR,1604775009,-61.3,-5.81,52,100,306.01,1.35
93,Ilulissat,GL,1604775010,-51.1,69.22,66,40,262.15,1.43
94,Kavaratti,IN,1604775010,72.64,10.57,73,0,301.57,2.68
95,Sémbé,CG,1604775010,14.58,1.65,91,28,295.36,0.3
96,Isangel,VU,1604775010,169.27,-19.55,81,1,298.35,3.27
97,Avarua,CK,1604775010,-159.78,-21.21,83,100,297.15,0.5
98,Necochea,AR,1604774980,-58.74,-38.55,76,1,290.93,2.68
99,San Martín,AR,1604775010,-68.47,-33.08,30,0,301.15,3.1
100,Cabedelo,BR,1604775011,-34.83,-6.98,70,40,302.15,8.2
101,Jamestown,US,1604774795,-79.24,42.1,42,1,292.59,4.1
102,Adrar,MR,1604774826,-10.07,20.5,17,100,305.06,3.55
103,Gisborne,NZ,1604774971,178.0,-38.65,69,35,293.71,0.45
104,Kloulklubed,PW,1604775011,134.26,7.04,88,90,298.15,2.6
105,Taltal,CL,1604775011,-70.48,-25.4,62,29,291.33,2.16
106,Mehamn,NO,1604774820,27.85,71.04,80,90,277.15,13.9
107,Grand Gaube,MU,1604775012,57.66,-20.01,73,0,295.37,0.89
108,Mar del Plata,AR,1604774725,-57.56,-38.0,88,40,291.15,4.51
109,Aitape,PG,1604775012,142.35,-3.14,87,100,298.41,3.88
110,Rochegda,RU,1604775012,43.25,62.8,96,100,275.0,4.66
111,Aksarayskiy,RU,1604775012,48.01,46.79,87,75,279.15,5.0
112,Chui,UY,1604775012,-53.46,-33.7,71,23,293.6,5.33
113,Lockhart,US,1604775012,-81.44,28.62,54,75,302.15,9.8
114,Huaiyuan,CN,1604775013,117.2,32.97,38,0,285.8,1.64
115,Torbay,CA,1604774979,-52.73,47.67,87,75,283.71,13.4
116,Saldanha,ZA,1604775013,17.94,-33.01,82,0,290.15,5.7
117,Carnarvon,AU,1604775013,113.63,-24.87,73,90,295.15,5.7
118,Turukhansk,RU,1604775013,87.98,65.82,97,100,265.29,8.36
119,Kapaa,US,1604775013,-159.32,22.08,88,40,299.15,3.6
120,Tasiilaq,GL,1604775013,-37.64,65.61,92,90,271.15,2.1
121,Faya,SA,1604775014,42.45,18.39,72,0,290.15,0.99
122,Temryuk,RU,1604774742,37.38,45.27,71,7,284.15,4.0
123,Benguela,AO,1604775014,13.41,-12.58,72,68,298.19,2.22
124,Thompson,CA,1604775016,-97.86,55.74,85,90,265.15,1.0
125,Belyy Yar,RU,1604775016,91.39,53.6,92,71,272.15,2.0
126,Keflavik,IS,1604775016,-22.56,64.0,86,75,279.15,8.7
127,Meadow Lake,US,1604775016,-106.54,34.8,24,75,294.82,6.2
128,Mahébourg,MU,1604775017,57.7,-20.41,78,40,296.15,3.6
129,Lagoa,PT,1604775017,-27.98,39.05,71,0,289.54,9.37
130,Pouembout,NC,1604775017,164.9,-21.13,78,16,295.31,2.29
131,Marzuq,YE,1604775017,46.47,14.4,55,1,291.99,1.68
132,Clyde River,CA,1604775017,-68.59,70.47,84,20,254.15,2.1
133,Bilibino,RU,1604775017,166.44,68.05,89,100,254.96,0.65
134,Arlit,NE,1604774821,7.39,18.74,20,0,299.47,8.04
135,Honiara,SB,1604774891,159.95,-9.43,94,20,296.15,1.0
136,Antofagasta,CL,1604775017,-70.4,-23.65,59,20,292.15,5.1
